year	county	totalpop	totalto	turnout	totalvr	votecenter	cumulative	election	constitutional	midterm	presidential	median_inc	bachelor_higher	Election	County	medianinc_rec	totalpop_rec
2011	"Borden"	646	63	0.1441648	437	0	0	"Constitutional"	1	0	0	59643	0.235	1	17	5.9643	6.46E-4
2012	"Clay"	10844	5094	0.6649262	7661	0	0	"Presidential"	0	0	1	54298	0.18	3	39	5.4298	0.010844
2010	"Fort Bend"	585375	139133	0.4502278	309028	0	0	"Midterm/Gubernatorial"	0	1	0	79845	0.404	2	79	7.9845	0.585375
2015	"Lamb"	13225	1505	0.116369	12933	0	0	"Constitutional"	1	0	0	39851	0.163	1	141	3.9851	0.013225
2011	"Sabine"	10929	364	0.049952	7287	0	0	"Constitutional"	1	0	0	33109	0.128	1	202	3.3109	0.010929
2017	"Robertson"	17804	615	0.0540802	11372	0	0	"Constitutional"	1	0	0	56966	0.15	1	198	5.6966	0.017804
2015	"Crockett"	3785	671	0.269803	2487	0	0	"Constitutional"	1	0	0	53678	0.134	1	53	5.3678	0.003785
2014	"Bandera"	21201	6431	0.4333558	14840	0	0	"Midterm/Gubernatorial"	0	1	0	48587	0.215	2	10	4.8587	0.021201
2013	"Bastrop"	78707	3653	0.0892369	40936	0	0	"Constitutional"	1	0	0	51750	0.163	1	11	5.175	0.078707
2010	"Coleman"	8895	2641	0.4220873	6257	0	0	"Midterm/Gubernatorial"	0	1	0	26951	0.137	2	42	2.6951	0.008895
2016	"Somervell"	9000	3896	0.6474987	6017	0	0	"Presidential"	0	0	1	50562	0.192	3	213	5.0562	0.009
2011	"Mitchell"	9439	535	0.1201437	4453	0	0	"Constitutional"	1	0	0	41281	0.084	1	168	4.1281	0.009439
2015	"Cameron"	424133	9643	0.0524361	183900	0	0	"Constitutional"	1	0	0	33266	0.164	1	31	3.3266	0.424133
2018	"Houston"	23786	7360	0.5622613	13090	0	0	"Midterm/Gubernatorial"	0	1	0	40853	0.15	2	113	4.0853	0.023786
2010	"Marion"	10546	2725	0.3806929	7158	0	0	"Midterm/Gubernatorial"	0	1	0	29943	0.112	2	155	2.9943	0.010546
2018	"Nolan"	14123	4074	0.46411484	8778	0	0	"Midterm/Gubernatorial"	0	1	0	49084	0.14	2	177	4.9084	0.014123
2014	"Presidio"	7831	1050	0.1983752	5293	0	0	"Midterm/Gubernatorial"	0	1	0	30983	0.22	2	189	3.0983	0.007831
2016	"Brewster"	9257	4295	0.5832428	7364	0	0	"Presidential"	0	0	1	38440	0.36	3	22	3.844	0.009257
2014	"Brooks"	7226	2513	0.3908243	6430	0	0	"Midterm/Gubernatorial"	0	1	0	22176	0.11	2	24	2.2176	0.007226
2010	"Hopkins"	35161	8882	0.4111656	21602	0	0	"Midterm/Gubernatorial"	0	1	0	41642	0.167	2	112	4.1642	0.035161
2009	"Panola"	23678	1589	0.1013393	15680	0	0	"Constitutional"	1	0	0	41309	0.12	1	183	4.1309	0.023678
2017	"Dallam"	7278	169	0.0566164	2985	0	0	"Constitutional"	1	0	0	45848	0.124	1	56	4.5848	0.007278
2018	"Uvalde"	27624	7935	0.46354714	17118	0	0	"Midterm/Gubernatorial"	0	1	0	42677	0.15	2	232	4.2677	0.027624
2013	"Scurry"	17483	533	0.0581243	9170	0	0	"Constitutional"	1	0	0	47513	0.144	1	208	4.7513	0.017483
2014	"Tyler"	22248	4816	0.3634169	13252	0	0	"Midterm/Gubernatorial"	0	1	0	41630	0.116	2	229	4.163	0.022248
2015	"Bee"	32702	809	0.0545258	14837	0	0	"Constitutional"	1	0	0	42302	0.097	1	13	4.2302	0.032702
2016	"Wichita"	133445	38707	0.4946012	78259	0	0	"Presidential"	0	0	1	45371	0.222	3	243	4.5371	0.133445
2011	"Runnels"	10569	494	0.0746788	6615	0	0	"Constitutional"	1	0	0	38556	0.158	1	200	3.8556	0.010569
2018	"Motley"	1128	527	0.62219596	847	0	0	"Midterm/Gubernatorial"	0	1	0	45045	0.14	2	173	4.5045	0.001128
2015	"McMullen"	861	87	0.1283186	678	0	0	"Constitutional"	1	0	0	46250	0.154	1	162	4.625	8.61E-4
2011	"Fayette"	25358	2432	0.158148	15378	0	0	"Constitutional"	1	0	0	47285	0.176	1	75	4.7285	0.025358
2018	"Hale"	34054	7392	0.3856025	19170	0	0	"Midterm/Gubernatorial"	0	1	0	47934	0.16	2	95	4.7934	0.034054
2015	"Lamar"	50890	808	0.1015713	7955	0	0	"Constitutional"	1	0	0	40748	0.162	1	140	4.0748	0.05089
2017	"Scurry"	17422	334	0.0360341	9269	0	0	"Constitutional"	1	0	0	54979	0.166	1	208	5.4979	0.017422
2011	"Lampasas"	19928	82	0.0211996	3868	0	0	"Constitutional"	1	0	0	48760	0.189	1	142	4.876	0.019928
2014	"Tarrant"	1900000	373128	0.373128	1000000	0	0	"Midterm/Gubernatorial"	0	1	0	57727	0.297	2	220	5.7727	1.9
2009	"Fayette"	24470	1832	0.118	15500	0	0	"Constitutional"	1	0	0	44031	0.175	1	75	4.4031	0.02447
2013	"Martin"	5331	188	0.0629605	2986	0	0	"Constitutional"	1	0	0	42607	0.109	1	156	4.2607	0.005331
2009	"Ochiltree"	10225	597	0.1203629	4960	0	0	"Constitutional"	1	0	0	48662	0.179	1	179	4.8662	0.010225
2012	"Bee"	32445	7961	0.5594519	14230	0	0	"Presidential"	0	0	1	40707	0.085	3	13	4.0707	0.032445
2013	"Loving"	82	10	0.0819672	122	0	0	"Constitutional"	1	0	0	68750	0.079	1	151	6.875	8.2E-5
2010	"Martin"	4799	1192	0.4059946	2936	0	0	"Midterm/Gubernatorial"	0	1	0	38111	0.126	2	156	3.8111	0.004799
2009	"Ector"	136930	3347	0.0507375	65967	0	0	"Constitutional"	1	0	0	44322	0.13	1	68	4.4322	0.13693
2016	"Austin"	30565	12411	0.643891	19275	0	0	"Presidential"	0	0	1	56681	0.21	3	8	5.6681	0.030565
