year	county	totalpop	totalto	turnout	totalvr	votecenter	cumulative	election	constitutional	midterm	presidential	median_inc	bachelor_higher	Election	County	medianinc_rec	totalpop_rec
2016	"Chambers"	40863	16923	0.6286404	26920	0	0	"Presidential"	0	0	1	70396	0.211	3	36	7.0396	0.040863
2017	"Oldham"	2057	148	0.1076364	1375	0	0	"Constitutional"	1	0	0	62500	0.265	1	180	6.25	0.002057
2018	"Bandera"	23057	9584	0.6039448	15869	0	0	"Midterm/Gubernatorial"	0	1	0	57019	0.24	2	10	5.7019	0.023057
2012	"Trinity"	14734	6236	0.5418368	11509	0	0	"Presidential"	0	0	1	37223	0.096	3	228	3.7223	0.014734
2013	"Jim Wells"	41902	541	0.0217339	24892	0	0	"Constitutional"	1	0	0	40585	0.111	1	125	4.0585	0.041902
2017	"Culberson"	2164	60	0.0357995	1676	0	0	"Constitutional"	1	0	0	35875	0.09	1	55	3.5875	0.002164
2010	"Trinity"	14585	4690	0.4116924	11392	0	0	"Midterm/Gubernatorial"	0	1	0	36814	0.112	2	228	3.6814	0.014585
2010	"Burleson"	17187	4528	0.4130256	10963	0	0	"Midterm/Gubernatorial"	0	1	0	43185	0.105	2	26	4.3185	0.017187
2011	"Uvalde"	26466	704	0.0447325	15738	0	0	"Constitutional"	1	0	0	34456	0.158	1	232	3.4456	0.026466
2018	"Bell"	356263	86577	0.44226092	195760	0	0	"Midterm/Gubernatorial"	0	1	0	57352	0.25	2	14	5.7352	0.356263
2013	"Marion"	10482	297	0.0420561	7062	0	0	"Constitutional"	1	0	0	31967	0.122	1	155	3.1967	0.010482
2010	"Hartley"	6062	1334	0.4692227	2843	0	0	"Midterm/Gubernatorial"	0	1	0	66583	0.198	2	103	6.6583	0.006062
2009	"Dimmit"	9848	314	0.0442628	7094	0	0	"Constitutional"	1	0	0	24268	0.142	1	64	2.4268	0.009848
2010	"Lynn"	5915	1301	0.3383615	3845	0	0	"Midterm/Gubernatorial"	0	1	0	43672	0.159	2	153	4.3672	0.005915
2018	"Liberty"	82605	20576	0.46783838	43981	0	0	"Midterm/Gubernatorial"	0	1	0	49353	0.09	2	146	4.9353	0.082605
2013	"Kent"	804	82	0.134647	609	0	0	"Constitutional"	1	0	0	46875	0.231	1	132	4.6875	8.04E-4
2015	"Lee"	17143	951	0.0974285	9761	0	0	"Constitutional"	1	0	0	53902	0.172	1	144	5.3902	0.017143
2015	"Harris"	4500000	383281	0.1857659	2100000	0	0	"Constitutional"	1	0	0	54457	0.295	1	101	5.4457	4.5
2015	"Hill"	35694	2650	0.1200072	22082	0	0	"Constitutional"	1	0	0	41382	0.148	1	109	4.1382	0.035694
2012	"Donley"	3724	1535	0.6422594	2390	0	0	"Presidential"	0	0	1	41875	0.19	3	65	4.1875	0.003724
2015	"McCulloch"	8336	1354	0.2670085	5071	0	0	"Constitutional"	1	0	0	40561	0.156	1	160	4.0561	0.008336
2015	"Rockwall"	91103	8739	0.1671416	52285	0	0	"Constitutional"	1	0	0	87524	0.369	1	199	8.7524	0.091103
2016	"Uvalde"	27608	9106	0.5406401	16843	0	0	"Presidential"	0	0	1	39011	0.149	3	232	3.9011	0.027608
2011	"Kinney"	3670	171	0.0750988	2277	0	0	"Constitutional"	1	0	0	25703	0.161	1	136	2.5703	0.00367
2016	"Oldham"	2068	961	0.6815603	1410	0	0	"Presidential"	0	0	1	52292	0.259	3	180	5.2292	0.002068
2017	"Crane"	4750	83	0.0315469	2631	0	0	"Constitutional"	1	0	0	54946	0.117	1	52	5.4946	0.00475
2015	"Roberts"	926	259	0.3820059	678	0	0	"Constitutional"	1	0	0	63889	0.318	1	197	6.3889	9.26E-4
2014	"Anderson"	58501	10238	0.3789606	27016	0	0	"Midterm/Gubernatorial"	0	1	0	42511	0.113	2	1	4.2511	0.058501
2014	"Foard"	1262	331	0.3093458	1070	0	0	"Midterm/Gubernatorial"	0	1	0	34375	0.209	2	78	3.4375	0.001262
2013	"Kenedy"	420	33	0.1009174	327	0	0	"Constitutional"	1	0	0	43438	0.106	1	131	4.3438	4.2E-4
2017	"Donley"	3398	221	0.1011905	2184	0	0	"Constitutional"	1	0	0	44464	0.189	1	65	4.4464	0.003398
2014	"Lee"	17019	4285	0.4338801	9876	0	0	"Midterm/Gubernatorial"	0	1	0	52452	0.17	2	144	5.2452	0.017019
2012	"Upton"	3409	1343	0.632	2125	0	0	"Presidential"	0	0	1	52042	0.145	3	231	5.2042	0.003409
2014	"Jasper"	35921	7142	0.3197958	22333	0	0	"Midterm/Gubernatorial"	0	1	0	39176	0.103	2	121	3.9176	0.035921
2015	"Palo Pinto"	28499	2569	0.1551797	16555	0	0	"Constitutional"	1	0	0	39516	0.158	1	182	3.9516	0.028499
2013	"Real"	3343	203	0.0861996	2355	0	0	"Constitutional"	1	0	0	33885	0.195	1	193	3.3885	0.003343
2018	"Cochran"	2927	686	0.39676112	1729	0	0	"Midterm/Gubernatorial"	0	1	0	38492	0.12	2	40	3.8492	0.002927
2012	"Washington"	34369	14472	0.6576089	22007	0	0	"Presidential"	0	0	1	44162	0.243	3	239	4.4162	0.034369
2016	"Robertson"	17518	7113	0.6182529	11505	0	0	"Presidential"	0	0	1	49142	0.174	3	198	4.9142	0.017518
2016	"Bexar"	1900000	598665	0.598665	1000000	0	0	"Presidential"	0	0	1	52353	0.269	3	15	5.2353	1.9
2013	"Hays"	175412	8201	0.0826497	99226	0	0	"Constitutional"	1	0	0	58651	0.367	1	105	5.8651	0.175412
2017	"Bailey"	7206	136	0.0369867	3677	0	0	"Constitutional"	1	0	0	43777	0.144	1	9	4.3777	0.007206
2013	"Motley"	1196	115	0.1419753	810	0	0	"Constitutional"	1	0	0	35845	0.181	1	173	3.5845	0.001196
2010	"McCulloch"	8283	2089	0.4078485	5122	0	0	"Midterm/Gubernatorial"	0	1	0	34459	0.204	2	160	3.4459	0.008283
2010	"Jasper"	35710	8405	0.3962753	21210	0	0	"Midterm/Gubernatorial"	0	1	0	38062	0.14	2	121	3.8062	0.03571
2012	"Bexar"	1800000	520082	0.5869483	886078	0	0	"Presidential"	0	0	1	49141	0.259	3	15	4.9141	1.8
2014	"Calhoun"	21566	4163	0.3278986	12696	0	0	"Midterm/Gubernatorial"	0	1	0	47546	0.158	2	29	4.7546	0.021566
2009	"Concho"	4076	378	0.2210526	1710	0	0	"Constitutional"	1	0	0	45625	0.124	1	48	4.5625	0.004076
2010	"Baylor"	3726	1123	0.4190299	2680	0	0	"Midterm/Gubernatorial"	0	1	0	33459	0.245	2	12	3.3459	0.003726
2014	"Culberson"	2336	331	0.1881751	1759	0	0	"Midterm/Gubernatorial"	0	1	0	35302	0.117	2	55	3.5302	0.002336
2015	"Young"	18918	1523	0.1321934	11521	0	0	"Constitutional"	1	0	0	44693	0.176	1	252	4.4693	0.018918
2016	"Anderson"	58305	16981	0.6043921	28096	0	0	"Presidential"	0	0	1	42146	0.118	3	1	4.2146	0.058305
2018	"Waller"	51646	16603	0.50954455	32584	0	0	"Midterm/Gubernatorial"	0	1	0	63175	0.2	2	237	6.3175	0.051646
2012	"Wilson"	45472	17229	0.6371436	27041	0	0	"Presidential"	0	0	1	62870	0.182	3	247	6.287	0.045472
2018	"Wise"	67308	23117	0.55371386	41749	0	0	"Midterm/Gubernatorial"	0	1	0	61556	0.18	2	249	6.1556	0.067308
2013	"Bell"	326917	6048	0.0382729	158023	0	0	"Constitutional"	1	0	0	50060	0.217	1	14	5.006	0.326917
2009	"Yoakum"	7908	475	0.1169951	4060	0	0	"Constitutional"	1	0	0	48235	0.163	1	251	4.8235	0.007908
2010	"Fannin"	33915	7334	0.388474	18879	0	0	"Midterm/Gubernatorial"	0	1	0	44551	0.147	2	74	4.4551	0.033915
2010	"Kerr"	49625	16504	0.4922893	33525	0	0	"Midterm/Gubernatorial"	0	1	0	43072	0.27	2	133	4.3072	0.049625
2009	"Washington"	33459	1968	0.0912971	21556	0	0	"Constitutional"	1	0	0	43791	0.241	1	239	4.3791	0.033459
2017	"Lynn"	6051	181	0.0466976	3876	0	0	"Constitutional"	1	0	0	45438	0.17	1	153	4.5438	0.006051
2013	"Panola"	24244	1771	0.1131123	15657	0	0	"Constitutional"	1	0	0	52453	0.118	1	183	5.2453	0.024244
2013	"Live Oak"	11821	384	0.0553793	6934	0	0	"Constitutional"	1	0	0	42829	0.143	1	149	4.2829	0.011821
2012	"Taylor"	133744	43966	0.6010225	73152	0	0	"Presidential"	0	0	1	44372	0.242	3	221	4.4372	0.133744
2015	"Johnson"	161905	10674	0.1263554	84476	0	0	"Constitutional"	1	0	0	58135	0.173	1	126	5.8135	0.161905
2011	"Roberts"	934	147	0.2161765	680	0	0	"Constitutional"	1	0	0	61042	0.368	1	197	6.1042	9.34E-4
2014	"Mitchell"	9087	1233	0.2702762	4562	0	0	"Midterm/Gubernatorial"	0	1	0	45769	0.099	2	168	4.5769	0.009087
2013	"Comal"	118373	12872	0.1656223	77719	0	0	"Constitutional"	1	0	0	65839	0.333	1	46	6.5839	0.118373
2011	"Caldwell"	38583	1570	0.0802823	19556	0	0	"Constitutional"	1	0	0	43136	0.148	1	28	4.3136	0.038583
2013	"Kaufman"	108298	4568	0.0774211	59002	0	0	"Constitutional"	1	0	0	61194	0.176	1	129	6.1194	0.108298
2014	"Ellis"	159350	32323	0.3469548	93162	0	0	"Midterm/Gubernatorial"	0	1	0	61898	0.212	2	71	6.1898	0.15935
2011	"Jack"	9105	383	0.0811785	4718	0	0	"Constitutional"	1	0	0	46136	0.122	1	119	4.6136	0.009105
2012	"Kendall"	35477	17890	0.7158004	24993	0	0	"Presidential"	0	0	1	71553	0.388	3	130	7.1553	0.035477
2014	"Cass"	30929	6964	0.3606982	19307	0	0	"Midterm/Gubernatorial"	0	1	0	36342	0.127	2	34	3.6342	0.030929
2011	"Llano"	19501	2416	0.1768797	13659	0	0	"Constitutional"	1	0	0	41837	0.267	1	150	4.1837	0.019501
2013	"Kinney"	3661	212	0.0943061	2248	0	0	"Constitutional"	1	0	0	33257	0.146	1	136	3.3257	0.003661
2011	"Stonewall"	1475	76	0.0712946	1066	0	0	"Constitutional"	1	0	0	47083	0.237	1	217	4.7083	0.001475
2014	"Falls"	17284	3068	0.3112509	9857	0	0	"Midterm/Gubernatorial"	0	1	0	33587	0.114	2	73	3.3587	0.017284
2010	"Stephens"	9630	2470	0.435089	5677	0	0	"Midterm/Gubernatorial"	0	1	0	35691	0.122	2	215	3.5691	0.00963
2009	"Gregg"	121238	3827	0.0563266	67943	0	0	"Constitutional"	1	0	0	42499	0.214	1	92	4.2499	0.121238
2013	"Houston"	23396	1197	0.0941852	12709	0	0	"Constitutional"	1	0	0	33119	0.148	1	113	3.3119	0.023396
2011	"Goliad"	7300	228	0.0423556	5383	0	0	"Constitutional"	1	0	0	51389	0.164	1	88	5.1389	0.0073
2014	"Duval"	11427	3398	0.4054893	8380	0	0	"Midterm/Gubernatorial"	0	1	0	32479	0.07	2	66	3.2479	0.011427
2015	"Goliad"	7766	378	0.0708927	5332	0	0	"Constitutional"	1	0	0	51226	0.139	1	88	5.1226	0.007766
2009	"Grimes"	26422	1229	0.0866225	14188	0	0	"Constitutional"	1	0	0	39403	0.114	1	93	3.9403	0.026422
2018	"Kenedy"	424	180	0.5825243	309	0	0	"Midterm/Gubernatorial"	0	1	0	25405	0.02	2	131	2.5405	4.24E-4
2015	"Jasper"	34853	1710	0.0747639	22872	0	0	"Constitutional"	1	0	0	40820	0.096	1	121	4.082	0.034853
2017	"Shackelford"	3386	98	0.0435943	2248	0	0	"Constitutional"	1	0	0	46793	0.274	1	209	4.6793	0.003386
2014	"Hutchinson"	21460	4496	0.3346981	13433	0	0	"Midterm/Gubernatorial"	0	1	0	47191	0.132	2	117	4.7191	0.02146
2009	"La Salle"	6771	2380	0.0826332	28802	0	0	"Constitutional"	1	0	0	31838	0.088	1	139	3.1838	0.006771
2014	"Walker"	70679	11477	0.3786914	30307	0	0	"Midterm/Gubernatorial"	0	1	0	38903	0.184	2	236	3.8903	0.070679
2015	"La Salle"	7636	3477	0.1183055	29390	0	0	"Constitutional"	1	0	0	37292	0.149	1	139	3.7292	0.007636
2009	"Randall"	119084	7431	0.0978729	75925	0	0	"Constitutional"	1	0	0	54311	0.299	1	191	5.4311	0.119084
2016	"Zavala"	12001	3390	0.3940944	8602	0	0	"Presidential"	0	0	1	26639	0.091	3	254	2.6639	0.012001
2011	"Tarrant"	1800000	33850	0.037248	908774	0	0	"Constitutional"	1	0	0	56178	0.289	1	220	5.6178	1.8
2012	"Van Zandt"	53525	19166	0.5867981	32662	0	0	"Presidential"	0	0	1	42668	0.125	3	234	4.2668	0.053525
2010	"Kenedy"	416	208	0.5826331	357	0	0	"Midterm/Gubernatorial"	0	1	0	48333	0.179	2	131	4.8333	4.16E-4
2011	"Austin"	28673	1158	0.0662889	17469	0	0	"Constitutional"	1	0	0	52510	0.194	1	8	5.251	0.028673
2017	"San Patricio"	66175	1052	0.0257957	40782	0	0	"Constitutional"	1	0	0	53398	0.143	1	205	5.3398	0.066175
2016	"Starr"	64071	11851	0.3705174	31985	0	0	"Presidential"	0	0	1	26682	0.093	3	214	2.6682	0.064071
2014	"Dallas"	2500000	410529	0.3421075	1200000	0	0	"Midterm/Gubernatorial"	0	1	0	49925	0.287	2	57	4.9925	2.5
2013	"Hardin"	57005	1513	0.0424905	35608	0	0	"Constitutional"	1	0	0	53013	0.156	1	100	5.3013	0.057005
2015	"Castro"	7699	413	0.1079456	3826	0	0	"Constitutional"	1	0	0	39459	0.132	1	35	3.9459	0.007699
2014	"Carson"	6113	1864	0.4381758	4254	0	0	"Midterm/Gubernatorial"	0	1	0	63424	0.226	2	33	6.3424	0.006113
2011	"Hunt"	87214	1908	0.0411873	46325	0	0	"Constitutional"	1	0	0	45253	0.173	1	116	4.5253	0.087214
2016	"Wilson"	48676	19476	0.6240907	31207	0	0	"Presidential"	0	0	1	68737	0.193	3	247	6.8737	0.048676
2015	"Duval"	11359	174	0.0212247	8198	0	0	"Constitutional"	1	0	0	33939	0.081	1	66	3.3939	0.011359
2011	"Van Zandt"	52814	1232	0.0383801	32100	0	0	"Constitutional"	1	0	0	42359	0.122	1	234	4.2359	0.052814
2012	"Schleicher"	3523	1017	0.5878613	1730	0	0	"Presidential"	0	0	1	50417	0.189	3	207	5.0417	0.003523
2014	"Maverick"	56528	5371	0.1858928	28893	0	0	"Midterm/Gubernatorial"	0	1	0	32536	0.121	2	159	3.2536	0.056528
2011	"Trinity"	14667	674	0.0589676	11430	0	0	"Constitutional"	1	0	0	38138	0.106	1	228	3.8138	0.014667
2013	"Hartley"	6134	173	0.0616536	2806	0	0	"Constitutional"	1	0	0	65750	0.206	1	103	6.575	0.006134
2018	"Donley"	3333	1279	0.5717479	2237	0	0	"Midterm/Gubernatorial"	0	1	0	48330	0.21	2	65	4.833	0.003333
2016	"Crane"	4886	1386	0.5175504	2678	0	0	"Presidential"	0	0	1	60133	0.129	3	52	6.0133	0.004886
2014	"Gillespie"	26230	8876	0.4890628	18149	0	0	"Midterm/Gubernatorial"	0	1	0	52414	0.333	2	86	5.2414	0.02623
2009	"Fort Bend"	569130	20195	0.0680817	296629	0	0	"Constitutional"	1	0	0	80638	0.389	1	79	8.0638	0.56913
2010	"Pecos"	15507	3301	0.4048816	8153	0	0	"Midterm/Gubernatorial"	0	1	0	38125	0.113	2	186	3.8125	0.015507
2018	"Dimmit"	9383	2894	0.39224723	7378	0	0	"Midterm/Gubernatorial"	0	1	0	30495	0.1	2	64	3.0495	0.009383
2016	"Bastrop"	85193	28888	0.6403192	45115	0	0	"Presidential"	0	0	1	55808	0.184	3	11	5.5808	0.085193
2017	"Ellis"	174745	16851	0.0387663	434682	0	0	"Constitutional"	1	0	0	70803	0.221	1	71	7.0803	0.174745
2013	"Collingsworth"	2958	152	0.0818966	1856	0	0	"Constitutional"	1	0	0	41576	0.189	1	44	4.1576	0.002958
2017	"Hays"	209213	7797	0.0644924	120898	0	0	"Constitutional"	1	0	0	64559	0.366	1	105	6.4559	0.209213
2016	"Kendall"	42324	20435	0.70291	29072	0	0	"Presidential"	0	0	1	76350	0.393	3	130	7.635	0.042324
2011	"Upton"	3366	154	0.0720636	2137	0	0	"Constitutional"	1	0	0	52455	0.166	1	231	5.2455	0.003366
2010	"Edwards"	2002	938	0.6106771	1536	0	0	"Midterm/Gubernatorial"	0	1	0	40163	0.221	2	69	4.0163	0.002002
2013	"Uvalde"	26790	825	0.0522053	15803	0	0	"Constitutional"	1	0	0	34902	0.145	1	232	3.4902	0.02679
2018	"Culberson"	2095	827	0.4802555	1722	0	0	"Midterm/Gubernatorial"	0	1	0	34874	0.1	2	55	3.4874	0.002095
2012	"Wilbarger"	13560	4189	0.5346522	7835	0	0	"Presidential"	0	0	1	42271	0.182	3	244	4.2271	0.01356
2017	"Haskell"	5702	369	0.1133292	3256	0	0	"Constitutional"	1	0	0	46158	0.123	1	104	4.6158	0.005702
2018	"Wheeler"	5134	1810	0.53001463	3415	0	0	"Midterm/Gubernatorial"	0	1	0	52312	0.15	2	242	5.2312	0.005134
2011	"Callahan"	13516	439	0.0512611	8564	0	0	"Constitutional"	1	0	0	45933	0.166	1	30	4.5933	0.013516
2018	"Blanco"	11627	5808	0.6829727	8504	0	0	"Midterm/Gubernatorial"	0	1	0	62527	0.28	2	16	6.2527	0.011627
2009	"Reeves"	13550	323	0.0527864	6119	0	0	"Constitutional"	1	0	0	33569	0.067	1	195	3.3569	0.01355
2014	"Hood"	53544	13652	0.3802468	35903	0	0	"Midterm/Gubernatorial"	0	1	0	54397	0.241	2	111	5.4397	0.053544
2013	"Harris"	4300000	234110	0.1181576	2000000	0	0	"Constitutional"	1	0	0	53137	0.284	1	101	5.3137	4.3
2012	"Deaf Smith"	19662	4311	0.5192724	8302	0	0	"Presidential"	0	0	1	42577	0.149	3	60	4.2577	0.019662
2017	"Rains"	11243	322	0.0445367	7230	0	0	"Constitutional"	1	0	0	48814	0.108	1	190	4.8814	0.011243
2013	"Lamb"	13780	1646	0.1313962	12527	0	0	"Constitutional"	1	0	0	36727	0.14	1	141	3.6727	0.01378
2009	"Williamson"	410800	19276	0.0848464	227187	0	0	"Constitutional"	1	0	0	69406	0.359	1	246	6.9406	0.4108
2011	"Kendall"	34622	3829	0.1572097	24356	0	0	"Constitutional"	1	0	0	72092	0.366	1	130	7.2092	0.034622
2015	"Wilbarger"	12568	625	0.0804376	7770	0	0	"Constitutional"	1	0	0	41630	0.165	1	244	4.163	0.012568
2018	"Bosque"	18835	7155	0.58604306	12209	0	0	"Midterm/Gubernatorial"	0	1	0	52687	0.19	2	18	5.2687	0.018835
2018	"Armstrong"	1834	899	0.6295518	1428	0	0	"Midterm/Gubernatorial"	0	1	0	69620	0.24	2	6	6.962	0.001834
2014	"Grimes"	27780	5024	0.3287313	15283	0	0	"Midterm/Gubernatorial"	0	1	0	46652	0.116	2	93	4.6652	0.02778
2012	"Duval"	11979	4470	0.5113246	8742	0	0	"Presidential"	0	0	1	35167	0.074	3	66	3.5167	0.011979
2016	"Sutton"	4039	1430	0.5643252	2534	0	0	"Presidential"	0	0	1	54567	0.168	3	218	5.4567	0.004039
2016	"Hall"	3104	1091	0.5398318	2021	0	0	"Presidential"	0	0	1	27244	0.125	3	96	2.7244	0.003104
2011	"Cameron"	414348	4845	0.0285181	169892	0	0	"Constitutional"	1	0	0	32156	0.146	1	31	3.2156	0.414348
2018	"Cass"	30601	10217	0.5078284	20119	0	0	"Midterm/Gubernatorial"	0	1	0	47106	0.16	2	34	4.7106	0.030601
2010	"Rains"	10914	2719	0.3978636	6834	0	0	"Midterm/Gubernatorial"	0	1	0	42491	0.121	2	190	4.2491	0.010914
2016	"Castro"	7594	2035	0.5140187	3959	0	0	"Presidential"	0	0	1	42733	0.131	3	35	4.2733	0.007594
2015	"Crane"	5022	189	0.0752688	2511	0	0	"Constitutional"	1	0	0	58333	0.128	1	52	5.8333	0.005022
2011	"Medina"	46391	1068	0.0412546	25888	0	0	"Constitutional"	1	0	0	50101	0.193	1	163	5.0101	0.046391
2009	"Bailey"	7050	284	0.0756124	3756	0	0	"Constitutional"	1	0	0	35585	0.189	1	9	3.5585	0.00705
2013	"Duval"	11661	155	0.0188084	8241	0	0	"Constitutional"	1	0	0	34131	0.068	1	66	3.4131	0.011661
2016	"San Augustine"	8355	3579	0.5791262	6180	0	0	"Presidential"	0	0	1	29426	0.115	3	203	2.9426	0.008355
2009	"Fannin"	33865	2226	0.1165262	19103	0	0	"Constitutional"	1	0	0	42423	0.134	1	74	4.2423	0.033865
2018	"Concho"	4138	980	0.5843769	1677	0	0	"Midterm/Gubernatorial"	0	1	0	45427	0.11	2	48	4.5427	0.004138
2011	"Colorado"	20914	638	0.0493083	12939	0	0	"Constitutional"	1	0	0	43252	0.164	1	45	4.3252	0.020914
2014	"Newton"	14582	2907	0.3244782	8959	0	0	"Midterm/Gubernatorial"	0	1	0	36890	0.069	2	176	3.689	0.014582
2012	"Dallas"	2400000	714387	0.6494427	1100000	0	0	"Presidential"	0	0	1	49159	0.281	3	57	4.9159	2.4
2017	"Colorado"	22020	450	0.0329092	13674	0	0	"Constitutional"	1	0	0	55966	0.189	1	45	5.5966	0.02202
2017	"Gonzales"	20786	326	0.0272439	11966	0	0	"Constitutional"	1	0	0	55773	0.132	1	89	5.5773	0.020786
2018	"Llano"	20132	10154	0.6443711	15758	0	0	"Midterm/Gubernatorial"	0	1	0	52252	0.27	2	150	5.2252	0.020132
2013	"Dallas"	2500000	67513	0.0583262	1200000	0	0	"Constitutional"	1	0	0	49481	0.286	1	57	4.9481	2.5
2012	"Foard"	1349	495	0.4626168	1070	0	0	"Presidential"	0	0	1	32443	0.234	3	78	3.2443	0.001349
2010	"Robertson"	16622	4996	0.4364844	11446	0	0	"Midterm/Gubernatorial"	0	1	0	38393	0.158	2	198	3.8393	0.016622
2010	"Scurry"	16921	3462	0.362817	9542	0	0	"Midterm/Gubernatorial"	0	1	0	42401	0.163	2	208	4.2401	0.016921
2010	"San Augustine"	8865	2556	0.4018236	6361	0	0	"Midterm/Gubernatorial"	0	1	0	25974	0.119	2	203	2.5974	0.008865
2011	"McLennan"	238338	5307	0.0434541	122129	0	0	"Constitutional"	1	0	0	41656	0.216	1	161	4.1656	0.238338
2012	"Lee"	16873	6240	0.6665955	9361	0	0	"Presidential"	0	0	1	50860	0.129	3	144	5.086	0.016873
2010	"Ellis"	149610	31055	0.3654045	84988	0	0	"Midterm/Gubernatorial"	0	1	0	60877	0.21	2	71	6.0877	0.14961
2014	"Bailey"	7056	1005	0.2843803	3534	0	0	"Midterm/Gubernatorial"	0	1	0	41982	0.102	2	9	4.1982	0.007056
2013	"Lamar"	50270	512	0.0628684	8144	0	0	"Constitutional"	1	0	0	40104	0.165	1	140	4.0104	0.05027
2009	"Franklin"	10601	797	0.1237962	6438	0	0	"Constitutional"	1	0	0	42189	0.192	1	80	4.2189	0.010601
2018	"Bee"	33326	7217	0.4543852	15883	0	0	"Midterm/Gubernatorial"	0	1	0	47280	0.1	2	13	4.728	0.033326
2010	"Wilson"	42918	11323	0.4223739	26808	0	0	"Midterm/Gubernatorial"	0	1	0	60493	0.182	2	247	6.0493	0.042918
2016	"Jasper"	35572	13491	0.5710718	23624	0	0	"Presidential"	0	0	1	44552	0.106	3	121	4.4552	0.035572
2018	"Franklin"	10685	3974	0.5838108	6807	0	0	"Midterm/Gubernatorial"	0	1	0	45514	0.21	2	80	4.5514	0.010685
2016	"Goliad"	7742	3778	0.6774251	5577	0	0	"Presidential"	0	0	1	54375	0.16	3	88	5.4375	0.007742
2017	"Jim Hogg"	5172	55	0.0143117	3843	0	0	"Constitutional"	1	0	0	30561	0.113	1	124	3.0561	0.005172
2010	"Floyd"	6446	1560	0.3503256	4453	0	0	"Midterm/Gubernatorial"	0	1	0	35240	0.171	2	77	3.524	0.006446
2009	"Reagan"	3377	138	0.0743534	1856	0	0	"Constitutional"	1	0	0	51619	0.091	1	192	5.1619	0.003377
2013	"Jasper"	35438	1240	0.0566495	21889	0	0	"Constitutional"	1	0	0	40417	0.112	1	121	4.0417	0.035438
2009	"Brown"	38001	2667	0.1161838	22955	0	0	"Constitutional"	1	0	0	38531	0.153	1	25	3.8531	0.038001
2014	"Gonzales"	20457	3713	0.3067327	12105	0	0	"Midterm/Gubernatorial"	0	1	0	41263	0.147	2	89	4.1263	0.020457
2016	"Loving"	81	66	0.6	110	0	0	"Presidential"	0	0	1	56875	0.03	3	151	5.6875	8.1E-5
2014	"Colorado"	21772	5220	0.3892037	13412	0	0	"Midterm/Gubernatorial"	0	1	0	45262	0.175	2	45	4.5262	0.021772
2013	"Leon"	17060	981	0.091443	10728	0	0	"Constitutional"	1	0	0	44452	0.148	1	145	4.4452	0.01706
2015	"Kent"	803	106	0.1775544	597	0	0	"Constitutional"	1	0	0	47024	0.248	1	132	4.7024	8.03E-4
2014	"Sherman"	3144	600	0.3944773	1521	0	0	"Midterm/Gubernatorial"	0	1	0	49219	0.212	2	211	4.9219	0.003144
2012	"Willacy"	22201	5147	0.4632346	11111	0	0	"Presidential"	0	0	1	26369	0.084	3	245	2.6369	0.022201
2010	"Hemphill"	3807	1102	0.5185882	2125	0	0	"Midterm/Gubernatorial"	0	1	0	62159	0.163	2	106	6.2159	0.003807
2010	"Bowie"	92565	22733	0.3987057	57017	0	0	"Midterm/Gubernatorial"	0	1	0	42550	0.181	2	19	4.255	0.092565
2015	"Shackelford"	3410	252	0.1130552	2229	0	0	"Constitutional"	1	0	0	48750	0.226	1	209	4.875	0.00341
2011	"Bowie"	93275	2515	0.0460269	54642	0	0	"Constitutional"	1	0	0	43210	0.185	1	19	4.321	0.093275
2010	"Sabine"	10834	3437	0.4523559	7598	0	0	"Midterm/Gubernatorial"	0	1	0	33589	0.122	2	202	3.3589	0.010834
2015	"Pecos"	16071	676	0.085085	7945	0	0	"Constitutional"	1	0	0	50305	0.1	1	186	5.0305	0.016071
2010	"Reagan"	3367	534	0.2861736	1866	0	0	"Midterm/Gubernatorial"	0	1	0	54224	0.1	2	192	5.4224	0.003367
2015	"Van Zandt"	54699	4802	0.1417732	33871	0	0	"Constitutional"	1	0	0	44002	0.155	1	234	4.4002	0.054699
2014	"Live Oak"	11863	2461	0.3473536	7085	0	0	"Midterm/Gubernatorial"	0	1	0	44579	0.159	2	149	4.4579	0.011863
2012	"Comal"	115084	51874	0.6870729	75500	0	0	"Presidential"	0	0	1	63480	0.323	3	46	6.348	0.115084
2011	"Harrison"	66527	1482	0.0352354	42060	0	0	"Constitutional"	1	0	0	45357	0.179	1	102	4.5357	0.066527
2017	"Lavaca"	19724	703	0.053878	13048	0	0	"Constitutional"	1	0	0	56884	0.174	1	143	5.6884	0.019724
2016	"Washington"	35265	15000	0.6536802	22947	0	0	"Presidential"	0	0	1	52718	0.22	3	239	5.2718	0.035265
2015	"Wichita"	132326	6246	0.0834893	74812	0	0	"Constitutional"	1	0	0	45543	0.216	1	243	4.5543	0.132326
2018	"Chambers"	44507	15181	0.5409614	28063	0	0	"Midterm/Gubernatorial"	0	1	0	82637	0.2	2	36	8.2637	0.044507
2010	"Wharton"	41280	9955	0.403363	24680	0	0	"Midterm/Gubernatorial"	0	1	0	41148	0.154	2	241	4.1148	0.04128
2010	"Delta"	5231	1570	0.4634002	3388	0	0	"Midterm/Gubernatorial"	0	1	0	37908	0.15	2	61	3.7908	0.005231
2012	"Camp"	12533	4335	0.6199943	6992	0	0	"Presidential"	0	0	1	36495	0.154	3	32	3.6495	0.012533
2009	"Fisher"	4014	308	0.1048332	2938	0	0	"Constitutional"	1	0	0	37601	0.154	1	76	3.7601	0.004014
